firstName,lastName,movieTitle,releaseYear
Louis,Silvers,One Night of Love,1934
Victor,Schertzinger,One Night of Love,1934
Gus,Kahn,One Night of Love,1934
Max,Steiner,The Gay Divorcee,1934
Kenneth,Webb,The Gay Divorcee,1934
Sam,Hoffenstein,The Gay Divorcee,1934
Max,Steiner,The Informer,1935
Leo,F. Forbstein,Captain Blood,1935
Erich,Wolfgang Korngold,Captain Blood,1935
Herbert,Stothart,Mutiny on the Bounty,1935
Ernst,Toch,Peter Ibbetson,1935
Leo,F. Forbstein,Anthony Adverse,1936
Erich,Wolfgang Korngold,Anthony Adverse,1936
Max,Steiner,The Charge of the Light Brigade,1936
Boris,Morros,The General Died at Dawn,1936
Werner,Janssen,The General Died at Dawn,1936
Nathaniel,Shilkret,Winterset,1936
Charles,Previn,One Hundred Men and a Girl,1937
Alfred,Newman,The Hurricane,1937
Louis,Silvers,In Old Chicago,1937
Leo,F. Forbstein,The Life of Emile Zola,1937
Max,Steiner,The Life of Emile Zola,1937
Morris,Stoloff,Lost Horizon,1937
Dimitri,Tiomkin,Lost Horizon,1937
Hugo,Riesenfeld,Make a Wish,1937
Herbert,Stothart,Maytime,1937
Alberto,Colombo,Portia on Trial,1937
Alfred,Newman,The Prisoner of Zenda,1937
Roy,Webb,Quality Street,1937
Leigh,Harline,Snow White and the Seven Dwarfs,1937
Frank,Churchill,Snow White and the Seven Dwarfs,1937
Paul,Smith,Snow White and the Seven Dwarfs,1937
Constantin,Bakaleinikoff,Something to Sing About,1937
Victor,Schertzinger,Something to Sing About,1937
Boris,Morros,Souls at Sea,1937
W.,Franke Harling,Souls at Sea,1937
Marvin,Hatley,Way Out West,1937
Erich,Wolfgang Korngold,The Adventures of Robin Hood,1938
Victor,Young,Army Girl,1938
Marvin,Hatley,Block-Heads,1938
Werner,Janssen,Blockade,1938
Alfred,Newman,The Cowboy and the Lady,1938
Richard,Hageman,If I Were King,1938
Herbert,Stothart,Marie Antoinette,1938
Russell,Bennett,Pacific Liner,1938
Louis,Silvers,Suez,1938
Franz,Waxman,The Young in Heart,1938
Alfred,Newman,Alexander's Ragtime Band,1938
Victor,Baravalle,Carefree,1938
Morris,Stoloff,Girls' School,1938
Max,Steiner,Jezebel,1938
Charles,Previn,Mad About Music,1938
Frank,Skinner,Mad About Music,1938
Cy,Feuer,Storm Over Bengal,1938
Herbert,Stothart,Sweethearts,1938
Marvin,Hatley,There Goes My Heart,1938
Boris,Morros,Tropic Holiday,1938
Franz,Waxman,The Young in Heart,1938
Herbert,Stothart,The Wizard of Oz,1939
Max,Steiner,Dark Victory,1939
Werner,Janssen,Eternally Yours,1939
Victor,Young,Golden Boy,1939
Max,Steiner,Gone with the Wind,1939
Victor,Young,Gulliver's Travels,1939
Lud,Gluskin,The Man in the Iron Mask,1939
Lucien,Moraweck,The Man in the Iron Mask,1939
Victor,Young,Man of Conquest,1939
Anthony,Collins,Nurse Edith Cavell,1939
Aaron,Copland,Of Mice and Men,1939
Alfred,Newman,The Rains Came,1939
Alfred,Newman,Wuthering Heights,1939
Richard,Hageman,Stagecoach,1939
W.,Franke Harling,Stagecoach,1939
John,Leipold,Stagecoach,1939
Leo,Shuken,Stagecoach,1939
Roger,Edens,Babes in Arms,1939
Georgie,Stoll,Babes in Arms,1939
Charles,Previn,First Love,1939
Phil,Boutelje,The Great Victor Herbert,1939
Arthur,Lange,The Great Victor Herbert,1939
Louis,Forbes,Intermezzo,1939
Dimitri,Tiomkin,Mr. Smith Goes to Washington,1939
Aaron,Copland,Of Mice and Men,1939
Erich,Wolfgang Korngold,The Private Lives of Elizabeth and Essex,1939
Cy,Feuer,She Married a Cop,1939
Louis,Silvers,Swanee River,1939
Victor,Young,Way Down South,1939
Leigh,Harline,Pinocchio,1940
Paul,Smith,Pinocchio,1940
Ned,Washington,Pinocchio,1940
Victor,Young,Arizona,1940
Victor,Young,Dark Command,1940
Louis,Gruenberg,The Fight for Life,1940
Meredith,Willson,The Great Dictator,1940
Frank,Skinner,The House of the Seven Gables,1940
Richard,Hageman,The Howards of Virginia,1940
Max,Steiner,The Letter,1940
Alfred,Newman,The Mark of Zorro,1940
Roy,Webb,My Favorite Wife,1940
Werner,Heymann,One Million B.C.,1940
Aaron,Copland,Our Town,1940
Franz,Waxman,Rebecca,1940
Miklós,Rózsa,The Thief of Bagdad,1940
Herbert,Stothart,Waterloo Bridge,1940
Alfred,Newman,Tin Pan Alley,1940
Cy,Feuer,Hit Parade of 1941,1940
Anthony,Collins,Irene,1940
Erich,Wolfgang Korngold,The Sea Hawk,1940
Artie,Shaw,Second Chorus,1940
Charles,Previn,Spring Parade,1940
Roger,Edens,Strike Up the Band,1940
Georgie,Stoll,Strike Up the Band,1940
Bernard,Herrmann,The Devil and Daniel Webster,1941
Frank,Skinner,Back Street,1941
Alfred,Newman,Ball of Fire,1941
Edward,Ward,Cheers for Miss Bishop,1941
Bernard,Herrmann,Citizen Kane,1941
Franz,Waxman,Dr. Jekyll and Mr. Hyde,1941
Victor,Young,Hold Back the Dawn,1941
Alfred,Newman,How Green Was My Valley,1941
Edward,Kay,King of the Zombies,1941
Morris,Stoloff,Ladies in Retirement,1941
Ernst,Toch,Ladies in Retirement,1941
Meredith,Willson,The Little Foxes,1941
Miklós,Rózsa,Lydia,1941
Cy,Feuer,Mercy Island,1941
Walter,Scharf,Mercy Island,1941
Max,Steiner,Sergeant York,1941
Louis,Gruenberg,So Ends Our Night,1941
Franz,Waxman,Suspicion,1941
Werner,Heymann,That Uncertain Feeling,1941
Richard,Hageman,This Woman Is Mine,1941
Frank,Churchill,Dumbo,1941
Oliver,Wallace,Dumbo,1941
Robert,E. Dolan,Birth of the Blues,1941
Charles,Previn,Buck Privates,1941
Herbert,Stothart,The Chocolate Soldier,1941
Bronisław,Kaper,The Chocolate Soldier,1941
Cy,Feuer,Ice-Capades,1941
Heinz,Roemheld,The Strawberry Blonde,1941
Emil,Newman,Sun Valley Serenade,1941
Anthony,Collins,Sunny,1941
Morris,Stoloff,You'll Never Get Rich,1941
Max,Steiner,"Now, Voyager",1942
Frank,Skinner,Arabian Nights,1942
Frank,Churchill,Bambi,1942
Edward,Plumb,Bambi,1942
Alfred,Newman,The Black Swan,1942
Dimitri,Tiomkin,The Corsican Brothers,1942
Victor,Young,Flying Tigers,1942
Max,Terr,The Gold Rush,1942
Roy,Webb,I Married a Witch,1942
Roy,Webb,Joan of Paris,1942
Miklós,Rózsa,Jungle Book,1942
Edward,Kay,Klondike Fury,1942
Leigh,Harline,The Pride of the Yankees,1942
Herbert,Stothart,Random Harvest,1942
Richard,Hageman,The Shanghai Gesture,1942
Victor,Young,Silver Queen,1942
Victor,Take a Letter, Darling,1942
Friedrich,Hollaender,The Talk of the Town,1942
Morris,Stoloff,The Talk of the Town,1942
Werner,Heymann,To Be or Not to Be,1942
Ray,Heindorf,Yankee Doodle Dandy,1942
Heinz,Roemheld,Yankee Doodle Dandy,1942
Edward,Ward,Flying with Music,1942
Roger,Edens,For Me and My Gal,1942
Georgie,Stoll,For Me and My Gal,1942
Robert,E. Dolan,Holiday Inn,1942
Hans,J. Salter,It Started with Eve,1942
Charles,Previn,It Started with Eve,1942
Walter,Scharf,Johnny Doughboy,1942
Alfred,Newman,My Gal Sal,1942
Leigh,Harline,You Were Never Lovelier,1942
Alfred,Newman,The Song of Bernadette,1943
Frank,Skinner,The Amazing Mrs. Holliday,1943
Hans,J. Salter,The Amazing Mrs. Holliday,1943
Max,Steiner,Casablanca,1943
Morris,Stoloff,Commandos Strike at Dawn,1943
Louis,Gruenberg,Commandos Strike at Dawn,1943
Roy,Webb,The Fallen Sparrow,1943
Constantin,Bakaleinikoff,The Fallen Sparrow,1943
Victor,Young,For Whom the Bell Tolls,1943
Hanns,Eisler,Hangmen Also Die!,1943
Phil,Boutelje,Hi Diddle Diddle,1943
Walter,Scharf,In Old Oklahoma,1943
Leigh,Harline,Johnny Come Lately,1943
Gerard,Carbonara,The Kansan,1943
Arthur,Lange,Lady of Burlesque,1943
Herbert,Stothart,Madame Curie,1943
Dimitri,Tiomkin,The Moon and Sixpence,1943
Aaron,Copland,The North Star,1943
Edward,Plumb,Victory Through Air Power,1943
Paul,Smith,Victory Through Air Power,1943
Oliver,Wallace,Victory Through Air Power,1943
Ray,Heindorf,This Is the Army,1943
Alfred,Newman,Coney Island,1943
Walter,Scharf,Hit Parade of 1943,1943
Edward,Ward,Phantom of the Opera,1943
Charles,Wolcott,Saludos Amigos,1943
Leigh,Harline,The Sky's the Limit,1943
Morris,Stoloff,Something to Shout About,1943
Fred,Rich,Stage Door Canteen,1943
Robert,E. Dolan,Star Spangled Rhythm,1943
Herbert,P. Stothart,Thousands Cheer,1943
Max,Steiner,Since You Went Away,1944
Morris,Stoloff,Address Unknown,1944
Ernst,Toch,Address Unknown,1944
Dimitri,Tiomkin,The Bridge of San Luis Rey,1944
Arthur,Lange,Casanova Brown,1944
Hans,J. Salter,Christmas Holiday,1944
Miklós,Rózsa,Double Indemnity,1944
Walter,Scharf,The Fighting Seabees,1944
Roy,Webb,The Fighting Seabees,1944
Michel,Michelet,The Hairy Ape,1944
Robert,Stolz,It Happened Tomorrow,1944
Fred,Rich,Jack London,1944
Herbert,Stothart,Kismet,1944
Constantin,Bakaleinikoff,None but the Lonely Heart,1944
Hanns,Eisler,None but the Lonely Heart,1944
David,Rose,The Princess and the Pirate,1944
Karl,Hajos,Summer Storm,1944
Franke,Harling,Three Russian Girls,1944
Michel,Michelet,Voice in the Wind,1944
Alfred,Newman,Wilson,1944
Miklós,Rózsa,The Woman of the Town,1944
Morris,Stoloff,Cover Girl,1944
Carmen,Dragon,Cover Girl,1944
Walter,Scharf,Brazil,1944
Constantin,Bakaleinikoff,Higher and Higher,1944
Ray,Heindorf,Hollywood Canteen,1944
Werner,Heymann,Knickerbocker Holiday,1944
Kurt,Weill,Knickerbocker Holiday,1944
Robert,Emmett Dolan,Lady in the Dark,1944
Edward,Kay,"Lady, Let's Dance",1944
Georgie,Stoll,Meet Me in St. Louis,1944
Hans,J. Salter,The Merry Monahans,1944
Ferde,Grofé,Minstrel Man,1944
Leo,Erdody,Minstrel Man,1944
Charles,Previn,Song of the Open Road,1944
Louis,Forbes,Up in Arms,1944
Ray,Heindorf,Up in Arms,1944
Miklós,Rózsa,Spellbound,1945
Robert,E. Dolan,The Bells of St. Mary's,1945
Louis,Forbes,Brewster's Millions,1945
Werner,Janssen,Captain Kidd,1945
Roy,Webb,The Enchanted Cottage,1945
Edward,J. Kay,G. I. Honeymoon,1945
Louis,Applebaum,G. I. Joe,1945
Ann,Ronell,G. I. Joe,1945
Daniele,Amfitheatrof,Guest Wife,1945
Alfred,Newman,The Keys of the Kingdom,1945
Miklós,Rózsa,The Lost Weekend,1945
Victor,Young,Love Letters,1945
Karl,Hajos,The Man Who Walked Alone,1945
Franz,Waxman,"Objective, Burma!",1945
Alexandre,Tansman,Paris Underground,1945
Morris,Stoloff,A Song to Remember,1945
Werner,Janssen,The Southerner,1945
Hans,J. Salter,This Love of Ours,1945
Herbert,Stothart,The Valley of Decision,1945
Arthur,Lange,The Woman in the Window,1945
Hugo,Friedhofer,The Woman in the Window,1945
Georgie,Stoll,Anchors Aweigh,1945
Jerome,Kern,Can't Help Singing,1945
Robert,E. Dolan,Incendiary Blonde,1945
Ray,Heindorf,Rhapsody in Blue,1945
Max,Steiner,Rhapsody in Blue,1945
Alfred,Newman,State Fair,1945
Charles,Henderson,State Fair,1945
Edward,J. Kay,Sunbonnet Sue,1945
Edward,Plumb,The Three Caballeros,1945
Paul,Smith,The Three Caballeros,1945
Charles,Wolcott,The Three Caballeros,1945
Marlin,Skiles,Tonight and Every Night,1945
Morris,Stoloff,Tonight and Every Night,1945
Walter,Greene,Why Girls Leave Home,1945
Louis,Forbes,Wonder Man,1945
Ray,Heindorf,Wonder Man,1945
Hugo,Friedhofer,The Best Years of Our Lives,1946
Bernard,Herrmann,Anna and the King of Siam,1946
William,Walton,Henry V,1946
Franz,Waxman,Humoresque,1946
Miklós,Rózsa,The Killers,1946
Morris,Stoloff,The Jolson Story,1946
Robert,Emmett Dolan,Blue Skies,1946
Alfred,Newman,Centennial Summer,1946
Lennie,Hayton,The Harvey Girls,1946
Ray,Heindorf,Night and Day,1946
Max,Steiner,Night and Day,1946
Miklós,Rózsa,A Double Life,1947
Hugo,Friedhofer,The Bishop's Wife,1947
Alfred,Newman,Captain from Castile,1947
David,Raksin,Forever Amber,1947
Max,Steiner,Life with Father,1947
Alfred,Newman,Mother Wore Tights,1947
Johnny,Green,Fiesta,1947
Ray,Heindorf,My Wild Irish Rose,1947
Max,Steiner,My Wild Irish Rose,1947
Robert,Emmett Dolan,Road to Rio,1947
Daniele,Amfitheatrof,Song of the South,1947
Paul,Smith,Song of the South,1947
Charles,Wolcott,Song of the South,1947
Brian,Easdale,The Red Shoes,1948
William,Walton,Hamlet,1948
Hugo,Friedhofer,Joan of Arc,1948
Max,Steiner,Johnny Belinda,1948
Alfred,Newman,The Snake Pit,1948
Johnny,Green,Easter Parade,1948
Roger,Edens,Easter Parade,1948
Victor,Young,The Emperor Waltz,1948
Lennie,Hayton,The Pirate,1948
Ray,Heindorf,Romance on the High Seas,1948
Alfred,Newman,When My Baby Smiles at Me,1948
Aaron,Copland,The Heiress,1949
Max,Steiner,Beyond the Forest,1949
Dimitri,Tiomkin,Champion,1949
Roger,Edens,On the Town,1949
Lennie,Hayton,On the Town,1949
Morris,Stoloff,Jolson Sings Again,1949
George,Duning,Jolson Sings Again,1949
Ray,Heindorf,Look for the Silver Lining,1949
Franz,Waxman,Sunset Boulevard,1950
Alfred,Newman,All About Eve,1950
Max,Steiner,The Flame and the Arrow,1950
George,Duning,No Sad Songs for Me,1950
Victor,Young,Samson and Delilah,1950
Adolph,Deutsch,Annie Get Your Gun,1950
Roger,Edens,Annie Get Your Gun,1950
Paul,Smith,Cinderella,1950
Oliver,Wallace,Cinderella,1950
Lionel,Newman,I'll Get By,1950
André,Previn,Three Little Words,1950
Ray,Heindorf,The West Point Story,1950
Franz,Waxman,A Place in the Sun,1951
Alfred,Newman,David and Bathsheba,1951
Alex,North,Death of a Salesman,1951
Miklós,Rózsa,Quo Vadis,1951
Saul,Chaplin,An American in Paris,1951
Johnny,Green,An American in Paris,1951
Oliver,Wallace,Alice in Wonderland,1951
Peter,Herman Adler,The Great Caruso,1951
Adolph,Deutsch,Show Boat,1951
Conrad,Salinger,Show Boat,1951
Dimitri,Tiomkin,High Noon,1952
Miklós,Rózsa,Ivanhoe,1952
Max,Steiner,The Miracle of Our Lady of Fatima,1952
Herschel,Burke Gilbert,The Thief,1952
Alex,North,Viva Zapata!,1952
Alfred,Newman,With a Song in My Heart,1952
Walter,Scharf,Hans Christian Andersen,1952
Ray,Heindorf,The Jazz Singer,1952
Gian,Carlo Menotti,The Medium,1952
Lennie,Hayton,Singin' in the Rain,1952
Bronisław,Kaper,Lili,1953
Hugo,Friedhofer,Above and Beyond,1953
George,Duning,From Here to Eternity,1953
Morris,Stoloff,From Here to Eternity,1953
Miklós,Rózsa,Julius Caesar,1953
Louis,Forbes,This Is Cinerama,1953
Alfred,Newman,Call Me Madam,1953
Friedrich,Hollaender,"The 5,000 Fingers of Dr. T.",1953
Adolph,Deutsch,The Band Wagon,1953
Ray,Heindorf,Calamity Jane,1953
Saul,Chaplin,Kiss Me Kate,1953
André,Previn,Kiss Me Kate,1953
Dimitri,Tiomkin,The High and the Mighty,1954
Max,Steiner,The Caine Mutiny,1954
Larry,Adler,Genevieve,1954
Leonard,Bernstein,On the Waterfront,1954
Franz,Waxman,The Silver Chalice,1954
Saul,Chaplin,Seven Brides for Seven Brothers,1954
Adolph,Deutsch,Seven Brides for Seven Brothers,1954
Herschel,Burke Gilbert,Carmen Jones,1954
Henry,Mancini,The Glenn Miller Story,1954
Ray,Heindorf,A Star Is Born,1954
Alfred,Newman,There's No Business Like Show Business,1954
Lionel,Newman,There's No Business Like Show Business,1954
Alfred,Newman,Love Is a Many-Splendored Thing,1955
Max,Steiner,Battle Cry,1955
Elmer,Bernstein,The Man with the Golden Arm,1955
George,Duning,Picnic,1955
Alex,North,The Rose Tattoo,1955
Robert,Russell Bennett,Oklahoma!,1955
Jay,Blackton,Oklahoma!,1955
Adolph,Deutsch,Oklahoma!,1955
Cyril,J. Mockridge,Guys and Dolls,1955
André,Previn,It's Always Fair Weather,1955
Percy,Faith,Love Me or Leave Me,1955
Georgie,Stoll,Love Me or Leave Me,1955
Victor,Young,Around the World in 80 Days,1956
Alfred,Newman,Anastasia,1956
Hugo,Friedhofer,Between Heaven and Hell,1956
Dimitri,Tiomkin,Giant,1956
Alex,North,The Rainmaker,1956
Ken,Darby,The King and I,1956
Lionel,Newman,The Best Things in Life Are Free,1956
George,Duning,The Eddy Duchin Story,1956
Morris,Stoloff,The Eddy Duchin Story,1956
Saul,Chaplin,High Society,1956
Johnny,Green,High Society,1956
Georgie,Stoll,Meet Me in Las Vegas,1956
Malcolm,Arnold,The Bridge on the River Kwai,1957
Hugo,Friedhofer,An Affair to Remember,1957
Hugo,Friedhofer,Boy on a Dolphin,1957
Paul,Smith,Perri,1957
Johnny,Green,Raintree County,1957
Dimitri,Tiomkin,The Old Man and the Sea,1958
Jerome,Moross,The Big Country,1958
David,Raksin,Separate Tables,1958
Oliver,Wallace,White Wilderness,1958
Hugo,Friedhofer,The Young Lions,1958
André,Previn,Gigi,1958
Yuri,Fayer,The Bolshoi Ballet,1958
Gennady,Rozhdestvensky,The Bolshoi Ballet,1958
Ray,Heindorf,Damn Yankees,1958
Lionel,Newman,Mardi Gras,1958
Ken,Darby,South Pacific,1958
Alfred,Newman,South Pacific,1958
Miklós,Rózsa,Ben-Hur,1959
Alfred,Newman,The Diary of Anne Frank,1959
Franz,Waxman,The Nun's Story,1959
Ernest,Gold,On the Beach,1959
Frank,De Vol,Pillow Talk,1959
Ken,Darby,Porgy and Bess,1959
André,Previn,Porgy and Bess,1959
Leith,Stevens,The Five Pennies,1959
Joseph,J. Lilley,Li'l Abner,1959
Nelson,Riddle,Li'l Abner,1959
Lionel,Newman,Say One for Me,1959
George,Bruns,Sleeping Beauty,1959
Ernest,Gold,Exodus,1960
Dimitri,Tiomkin,The Alamo,1960
André,Previn,Elmer Gantry,1960
Elmer,Bernstein,The Magnificent Seven,1960
Alex,North,Spartacus,1960
Morris,Stoloff,Song Without End,1960
Harry,Sukman,Song Without End,1960
André,Previn,Bells Are Ringing,1960
Nelson,Riddle,Can-Can,1960
Earle,Hagen,Let's Make Love,1960
Lionel,Newman,Let's Make Love,1960
Johnny,Green,Pepe,1960
Henry,Mancini,Breakfast at Tiffany's,1961
Miklós,Rózsa,El Cid,1961
Morris,Stoloff,Fanny,1961
Harry,Sukman,Fanny,1961
Dimitri,Tiomkin,The Guns of Navarone,1961
Elmer,Bernstein,Summer and Smoke,1961
Saul,Chaplin,West Side Story,1961
Johnny,Green,West Side Story,1961
Irwin,Kostal,West Side Story,1961
Sid,Ramin,West Side Story,1961
George,Bruns,Babes in Toyland,1961
Alfred,Newman,Flower Drum Song,1961
Ken,Darby,Flower Drum Song,1961
Dmitri,Shostakovich,Khovanshchina,1961
Duke,Ellington,Paris Blues,1961
Maurice,Jarre,Lawrence of Arabia,1962
Jerry,Goldsmith,Freud,1962
Bronisław,Kaper,Mutiny on the Bounty,1962
Franz,Waxman,Taras Bulba,1962
Elmer,Bernstein,To Kill a Mockingbird,1962
Ray,Heindorf,The Music Man,1962
Georgie,Stoll,Billy Rose's Jumbo,1962
Michel,Magne,Gigot,1962
Frank,Perkins,Gypsy,1962
Leigh,Harline,The Wonderful World of the Brothers Grimm,1962
John,Addison,Tom Jones,1963
Dimitri,Tiomkin,55 Days at Peking,1963
